QD,Paper,Session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
QT,MN,2,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,MCQ,MCQ,NAT,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,MCQ,NAT,NAT,NAT,NAT,NAT,MCQ,NAT,NAT,MCQ,MCQ,NAT,NAT,NAT,MCQ,MCQ,NAT,MCQ,NAT,NAT,NAT,MCQ,NAT,NAT,NAT,MCQ,NAT,NAT,NAT,MCQ,NAT
SN,MN,2,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN,MN
KY,MN,2,B,A,D,C,B,C,C,C,A,C,A,C,D,B,C,B,A,D,B,1.00 : 1.00,A,D,225.00 : 225.00,C,A,B,B,A,C,C,C,A,D,B,D,105.00 : 110.00,22.00 : 22.00,1.00 : 1.00,0.66 : 0.67,0.25 : 0.25,C,20.00 : 20.00,12.00 : 13.00,B,C,0.28 : 0.30,0.25 : 0.25,7.50 : 7.50,D,C,100.00 : 100.00,D,100.00 : 100.00,0.60 : 0.70,62.00 : 66.00,A,-930.00 : -960.00,78.00 : 80.00,43.00 : 44.00,A,20000.00 : 20000.00,0.77 : 0.78,21.00 : 22.00,A,31.00 : 31.00
MK,MN,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
